physician_id,first_name,last_name,specialty,state,years_practice,med_school_tier
NPI3385191751,William,Garcia,Psychiatry,GA,25,Other
NPI3456403540,Michelle,Taylor,Internal Medicine,TX,11,Other
NPI5024790683,Raj,Thompson,Pulmonology,NC,17,Top 50
NPI3933672424,Kevin,Wilson,Psychiatry,MD,33,Top 50
NPI3441466654,Mary,Anderson,Family Medicine,NC,7,Other
NPI6836610684,Lisa,Martinez,Psychiatry,AZ,29,Other
NPI1477291344,Lisa,Lee,Cardiology,NY,33,Other
NPI4063274002,Patricia,Kim,Emergency Medicine,FL,37,Other
NPI7207767692,Anita,Patel,Endocrinology,MA,13,Other
NPI2582647743,Richard,Jones,General Surgery,TX,11,Other
NPI2988350759,Michelle,Anderson,Internal Medicine,NC,37,Other
NPI2805999628,Patricia,White,Endocrinology,OH,19,Top 50
NPI1008334960,Lisa,Miller,Endocrinology,CA,23,Other
NPI5263909766,Patricia,Williams,Pulmonology,NJ,21,Other
NPI1350629104,Kevin,Martinez,Psychiatry,WI,21,Top 50
NPI3456458305,Charles,Patel,Oncology,TX,25,Top 50
NPI9953230820,John,White,Family Medicine,IN,17,Top 20
NPI9265565901,Michael,Brown,Family Medicine,NJ,16,Other
NPI2935682273,David,Patel,Endocrinology,MA,16,Other
NPI3790021886,James,Garcia,Oncology,TX,26,Top 50
NPI5173341239,James,Nguyen,Cardiology,MO,32,Other
NPI8599721919,Anita,Martin,Dermatology,CA,22,Top 20
NPI8223813471,Michelle,Brown,Gastroenterology,MD,27,Other
NPI2136172928,Thomas,Anderson,Internal Medicine,AZ,17,Other
NPI2120039635,Anita,Wang,Rheumatology,OH,31,Other
NPI4750590284,Lisa,Thomas,Internal Medicine,CA,16,Other
NPI8830858505,James,Patel,Neurology,WA,17,Top 20
NPI8938764990,Priya,Nguyen,Family Medicine,TX,3,Other
NPI1966292647,James,Smith,Neurology,WA,11,Other
NPI6168675591,Carlos,O'Brien,Orthopedic Surgery,TN,29,Top 20
NPI2401076773,Susan,Anderson,General Surgery,IL,4,Other
NPI7175163789,Robert,Chen,Internal Medicine,PA,9,Top 20
NPI9247899230,Linda,Moore,Pulmonology,PA,31,Other
NPI5092923631,Wei,Lee,Internal Medicine,PA,35,Top 50
NPI1747744972,Elena,Anderson,Cardiology,FL,17,Other
NPI6213287762,Karen,Singh,Rheumatology,PA,16,Top 20
NPI4676650030,Robert,Brown,Family Medicine,AZ,20,Top 20
NPI8298088770,Anita,Murphy,Dermatology,OH,31,Other
NPI4063100174,Fatima,Miller,General Surgery,TN,19,Other
NPI8874074803,Richard,Murphy,Family Medicine,IN,7,Top 50
NPI3463303668,Thomas,Smith,Emergency Medicine,TN,17,Other
NPI2417658722,Kevin,Smith,Family Medicine,NJ,10,Other
NPI3758323395,Susan,Williams,Endocrinology,OH,27,Other
NPI1314242126,James,Martin,Family Medicine,MD,6,Top 50
NPI3531213701,Robert,Davis,Pulmonology,PA,24,Other
NPI6941058704,Charles,Lee,Internal Medicine,MI,6,Other
NPI2280546806,Michelle,Wang,Cardiology,MI,38,Top 50
NPI2002284754,Ahmed,Smith,Oncology,MA,25,Other
NPI2191467621,Charles,Jackson,Emergency Medicine,NJ,6,Other
NPI1697965068,Barbara,Nguyen,Gastroenterology,TN,38,Top 50
NPI8871718705,Jessica,Thomas,General Surgery,MD,23,Top 50
NPI9497036038,Mary,O'Brien,Gastroenterology,GA,24,Top 50
NPI1419050365,Susan,White,Gastroenterology,MO,3,Other
NPI7840646033,Charles,Johnson,Endocrinology,NY,8,Other
NPI7634365719,Anita,Martin,Family Medicine,MD,32,Other
NPI9972184820,Anita,Taylor,General Surgery,NY,19,Other
NPI4130835955,Carlos,Brown,Neurology,MO,25,Top 50
NPI3569580924,James,Rodriguez,Family Medicine,GA,39,Top 20
NPI5077739086,Carlos,Miller,Internal Medicine,WI,17,Top 50
NPI8709176593,Michael,Williams,General Surgery,FL,15,Top 50
NPI7557342782,Charles,Miller,Family Medicine,MI,32,Top 20
NPI5244614325,Kevin,Wang,Pulmonology,MD,3,Other
NPI3201065589,Raj,Lee,Internal Medicine,CA,18,Top 50
NPI7543141670,Lisa,Wang,Internal Medicine,IL,34,Top 20
NPI8690741811,William,Hernandez,Dermatology,TX,9,Top 50
NPI4599561079,Sarah,Brown,Internal Medicine,OH,12,Top 50
NPI7017269011,Priya,Taylor,Internal Medicine,GA,19,Top 50
NPI4601908190,Sarah,Garcia,Psychiatry,WA,3,Top 50
NPI5306440942,Richard,Martin,Gastroenterology,IL,3,Top 50
NPI5724193419,Richard,Wilson,Internal Medicine,NY,10,Other
NPI7981532325,Karen,Clark,Family Medicine,NY,36,Other
NPI9797553856,Mary,Taylor,General Surgery,MD,9,Other
NPI4999295463,Michelle,Martinez,Emergency Medicine,WI,29,Other
NPI4080835055,Patricia,Clark,Endocrinology,PA,17,Other
NPI4362319057,Michelle,Jackson,Internal Medicine,NY,30,Other
NPI2205001624,Mary,Garcia,Cardiology,TX,13,Other
NPI3672448640,Sarah,Moore,Internal Medicine,WI,35,Other
NPI1778026719,Richard,Davis,Internal Medicine,MA,15,Other
NPI4851048368,Karen,Kim,Neurology,TN,31,Top 50
NPI2506215423,Jessica,Lee,Internal Medicine,IL,33,Top 50
NPI4117660713,Raj,Kim,Endocrinology,WA,17,Top 50
NPI8142199743,James,Rodriguez,Orthopedic Surgery,TX,27,Other
NPI3213348855,Michelle,Kim,Psychiatry,AZ,5,Top 20
NPI6507051591,Wei,Anderson,Internal Medicine,VA,20,Other
NPI9110632772,Fatima,Miller,General Surgery,OH,15,Other
NPI6102362682,Robert,Jackson,Orthopedic Surgery,MA,38,Other
NPI2744133514,Mary,Hernandez,Orthopedic Surgery,WA,37,Top 20
NPI4102895745,Susan,Martinez,Internal Medicine,NC,31,Other
NPI6313322864,Barbara,Wang,Internal Medicine,NY,38,Top 50
NPI5559500257,Fatima,O'Brien,Pulmonology,CA,39,Other
NPI2337578526,Raj,Taylor,Family Medicine,MD,30,Other
NPI5021167101,Richard,Patel,Family Medicine,IL,24,Other
NPI5887600253,Fatima,Clark,Endocrinology,OH,8,Other
NPI3405994429,Mary,Smith,Neurology,AZ,32,Other
NPI6512009637,Ahmed,Anderson,Emergency Medicine,IL,8,Other
NPI1631440895,John,Nguyen,Family Medicine,GA,8,Top 20
NPI4029463301,Wei,Moore,Pulmonology,MA,35,Top 50
NPI8238491494,Susan,Chen,Cardiology,VA,5,Top 20
NPI3333563207,Richard,Moore,Rheumatology,AZ,6,Other
NPI6446591649,William,Johnson,Neurology,CA,20,Other
NPI4690267422,Richard,Hernandez,Internal Medicine,MI,23,Other
NPI3848141281,Raj,Thomas,Internal Medicine,MI,2,Other
NPI9245185190,Carlos,Singh,Family Medicine,WA,15,Other
NPI4089355462,David,Jones,Emergency Medicine,NY,9,Top 50
NPI3130083113,William,Jones,Psychiatry,NY,12,Top 20
NPI9183711839,Sarah,Jones,Pulmonology,TN,8,Other
NPI7713499202,Wei,Lee,General Surgery,AZ,27,Other
NPI7136197422,Jennifer,Clark,Oncology,IN,19,Other
NPI1445814478,Priya,Thompson,General Surgery,IL,38,Top 50
NPI2180844646,Kevin,Wang,Cardiology,WI,1,Other
NPI6745059673,Elena,Singh,Internal Medicine,IL,31,Other
NPI2884895528,Thomas,Thompson,Dermatology,AZ,36,Other
NPI3030741870,Barbara,Thompson,General Surgery,NY,19,Top 50
NPI8012246637,Barbara,Davis,Internal Medicine,MD,28,Other
NPI3573324539,Ahmed,Rodriguez,Rheumatology,OH,18,Other
NPI1644285719,Jessica,Chen,Psychiatry,IN,24,Other
NPI1327887525,Patricia,Murphy,Gastroenterology,OH,36,Other
NPI4988601884,Wei,Clark,Psychiatry,TN,21,Other
NPI6554157198,Robert,Anderson,Family Medicine,MI,23,Other
NPI8819967099,Michelle,Jones,Family Medicine,TX,39,Other
NPI1997239555,Richard,Singh,Family Medicine,NY,20,Other
NPI2770055436,David,Moore,Neurology,AZ,7,Top 20
NPI5768205497,Mary,Rodriguez,Gastroenterology,NY,27,Top 50
NPI4276975259,Jennifer,Patel,Oncology,IL,28,Other
NPI5342837060,Kevin,Davis,Family Medicine,NJ,10,Top 20
NPI9317121839,Thomas,Anderson,Internal Medicine,IL,29,Top 20
NPI5904024884,Anita,Thompson,General Surgery,FL,3,Other
NPI4736085495,Kevin,Taylor,General Surgery,WA,13,Other
NPI9904959159,Mary,Wilson,Internal Medicine,AZ,34,Top 20
NPI1586941029,Susan,Miller,Cardiology,MA,25,Top 50
NPI9389021034,Elena,White,Psychiatry,MD,24,Other
NPI5514956578,Joseph,Johnson,Internal Medicine,FL,25,Other
NPI5533807039,Sarah,Williams,Dermatology,NC,7,Other
NPI9297679006,Karen,Johnson,Family Medicine,PA,38,Other
NPI5565915815,Priya,Nguyen,Internal Medicine,MD,12,Top 50
NPI4945663814,Kevin,Smith,Pulmonology,NJ,31,Other
NPI3452397328,Raj,Thomas,Internal Medicine,TX,39,Top 20
NPI6929350900,Charles,Brown,Family Medicine,AZ,10,Other
NPI6126805818,Karen,Lee,Internal Medicine,CA,25,Top 50
NPI2929108932,David,Johnson,Internal Medicine,IL,2,Top 20
NPI7384716234,Patricia,Smith,Cardiology,MA,25,Top 50
NPI6796781715,Priya,Thomas,Cardiology,NJ,18,Other
NPI4576004957,James,Patel,Internal Medicine,TN,3,Top 50
NPI1039608297,Wei,Brown,Cardiology,VA,27,Top 50
NPI5019230351,Joseph,Moore,Psychiatry,IN,38,Top 50
NPI1054523054,Fatima,Wang,Neurology,VA,4,Other
NPI1674986403,Kevin,Thompson,Family Medicine,TX,35,Other
NPI4875489121,Thomas,Nguyen,Family Medicine,TX,33,Other
NPI1737278957,Karen,Martinez,Endocrinology,TN,22,Other
NPI3480988903,Joseph,Rodriguez,Gastroenterology,CA,36,Other
NPI6899422316,Susan,Jones,Dermatology,GA,13,Other
NPI3777538083,John,Thompson,Cardiology,CA,29,Top 20
NPI9978837346,James,Hernandez,Internal Medicine,OH,28,Other
NPI9246718304,Priya,Smith,Internal Medicine,VA,23,Other
NPI6267789140,Anita,Rodriguez,Family Medicine,NY,33,Top 50
NPI9702524246,Mary,Kim,Psychiatry,MI,35,Other
NPI8812155649,Barbara,Miller,Family Medicine,WI,31,Top 50
NPI3870086669,Charles,Johnson,Cardiology,TX,23,Other
NPI7746366213,Priya,Patel,Family Medicine,TX,39,Other
NPI2231486055,Ahmed,Martin,Endocrinology,IL,22,Other
NPI7160962818,Wei,Johnson,Internal Medicine,IN,25,Top 50
NPI5419736437,John,Clark,Dermatology,NC,8,Other
NPI1151433453,Linda,Kim,Cardiology,WA,13,Other
NPI3468068401,Joseph,Hernandez,Pulmonology,CA,36,Top 50
NPI9598439955,Mary,Davis,Internal Medicine,MA,20,Other
NPI3842483365,David,Wilson,Dermatology,TX,20,Other
NPI2633090097,Susan,Hernandez,Gastroenterology,MA,32,Other
NPI2687783018,Michelle,Johnson,Emergency Medicine,FL,13,Other
NPI5312919381,Barbara,Taylor,General Surgery,MO,11,Top 20
NPI8583843165,Michelle,Miller,General Surgery,IL,1,Top 50
NPI7822015885,Priya,Brown,Neurology,NY,10,Top 50
NPI4931668067,Wei,Brown,General Surgery,OH,20,Top 50
NPI2878541950,Carlos,Anderson,Internal Medicine,CA,29,Other
NPI1414584100,Elena,Taylor,Rheumatology,NY,13,Other
NPI5163672874,Michael,Anderson,Endocrinology,VA,18,Other
NPI8332978135,Richard,Patel,Dermatology,OH,9,Other
NPI7567137941,Sarah,Jackson,Oncology,GA,32,Top 50
NPI4677406908,Michelle,Garcia,Family Medicine,IN,21,Top 50
NPI6352324046,Mary,Clark,Neurology,FL,6,Other
NPI4926218688,Joseph,Kim,Family Medicine,GA,24,Other
NPI6211144987,Michael,Moore,Internal Medicine,NY,14,Top 50
NPI5657547199,Michael,Johnson,Oncology,MI,34,Other
NPI7128699400,Ahmed,O'Brien,Family Medicine,OH,11,Other
NPI5569379591,Michael,Nguyen,Internal Medicine,CA,34,Top 50
NPI9465498982,Fatima,Hernandez,Family Medicine,TX,28,Other
NPI4852253633,Michelle,Jones,Family Medicine,MO,6,Other
NPI1143246727,Fatima,Brown,Family Medicine,TX,30,Top 50
NPI3127361818,Jennifer,Wilson,Family Medicine,TN,29,Other
NPI5505461722,Robert,Miller,Orthopedic Surgery,MD,18,Other
NPI5865146666,Jessica,Miller,Family Medicine,MI,7,Other
NPI5971463103,Thomas,Thomas,Emergency Medicine,OH,19,Other
NPI7430968883,Fatima,Johnson,Pulmonology,TN,24,Other
NPI3471833283,Richard,Martinez,Oncology,WI,6,Other
NPI6984133110,Jennifer,Murphy,Family Medicine,FL,14,Top 20
NPI7336290457,Michelle,Singh,Rheumatology,WI,28,Top 50
NPI4701526773,Anita,Smith,Dermatology,MD,22,Top 50
NPI4619521891,Lisa,Patel,Neurology,FL,39,Top 50
NPI2610323070,Wei,Clark,General Surgery,TX,9,Other
NPI4725886385,Kevin,Lee,Rheumatology,MA,31,Top 50
NPI8081346624,Joseph,Taylor,Neurology,TX,17,Top 50
NPI9180757049,Robert,Moore,Family Medicine,WA,9,Other
NPI6342518721,Charles,Miller,Orthopedic Surgery,TX,38,Top 50
NPI3694333089,Jessica,Taylor,Internal Medicine,AZ,25,Other
NPI7140607467,Fatima,Rodriguez,Orthopedic Surgery,PA,21,Other
NPI7661315877,Fatima,Thompson,Dermatology,TX,12,Top 50
NPI3989915008,Joseph,Thomas,Internal Medicine,TX,35,Top 20
NPI8438930752,Susan,Brown,Psychiatry,NY,2,Other
NPI1663262489,Richard,O'Brien,Internal Medicine,NJ,5,Top 20
NPI1096783458,Charles,Jones,Orthopedic Surgery,TX,8,Other
NPI2106736953,Lisa,Kim,Internal Medicine,IN,26,Other
NPI2404075130,Sarah,Martinez,Pulmonology,WA,5,Other
NPI8910361295,Sarah,Wilson,Internal Medicine,IL,32,Other
NPI4824835319,Michelle,Garcia,Emergency Medicine,WI,8,Other
NPI3474385227,Linda,Taylor,General Surgery,AZ,27,Top 20
NPI4861676043,Jennifer,Patel,Psychiatry,AZ,32,Other
NPI4553568033,Fatima,Thomas,General Surgery,NY,35,Other
NPI3713155011,Kevin,Smith,General Surgery,MA,12,Other
NPI2241096241,Charles,Davis,Emergency Medicine,VA,3,Top 50
NPI6903239157,Richard,Jones,Family Medicine,WI,30,Top 50
NPI2229439624,David,Thomas,Psychiatry,MI,18,Other
NPI7978820073,Joseph,O'Brien,Internal Medicine,AZ,38,Top 50
NPI2815192119,Mary,Rodriguez,Psychiatry,OH,8,Other
NPI7582341763,Sarah,Clark,Internal Medicine,CA,23,Other
NPI8250274950,William,Brown,Psychiatry,FL,5,Other
NPI2127934087,Linda,Moore,Psychiatry,MO,19,Other
NPI1780711914,Thomas,Johnson,Oncology,MA,1,Top 50
NPI9546154934,Kevin,Moore,Endocrinology,GA,30,Other
NPI5167421260,Michael,Lee,General Surgery,AZ,24,Other
NPI6672119454,Anita,Chen,General Surgery,CA,4,Top 50
NPI1209343961,Sarah,Anderson,Endocrinology,CA,20,Other
NPI3508391624,Michelle,Johnson,Psychiatry,NJ,17,Other
NPI5548578890,Susan,Hernandez,Pulmonology,WA,27,Top 20
NPI8975964819,Michelle,Thomas,Internal Medicine,MD,20,Other
NPI3442954757,Lisa,Thompson,Internal Medicine,TN,18,Top 50
NPI7976721877,Wei,Williams,Internal Medicine,IL,33,Other
NPI6959916353,Thomas,Thompson,Neurology,IN,21,Other
NPI2037436910,Jessica,Thomas,Family Medicine,MI,32,Other
NPI3640376554,Sarah,Nguyen,General Surgery,IN,35,Other
NPI3140776327,Elena,Clark,Neurology,NY,34,Top 50
NPI4982748287,Fatima,Miller,Family Medicine,CA,38,Other
NPI6718008186,James,Nguyen,Gastroenterology,TX,28,Top 50
NPI4900777799,Wei,Brown,General Surgery,WI,22,Other
NPI3200829181,Elena,Clark,Family Medicine,TX,21,Top 50
NPI7262908913,Ahmed,Moore,Family Medicine,MD,8,Top 50
NPI6260239851,Joseph,Nguyen,Family Medicine,MA,33,Top 20
NPI5673825166,David,Chen,Internal Medicine,FL,28,Top 50
NPI5989776376,Wei,Thompson,Internal Medicine,MO,35,Top 50
NPI2997105816,Lisa,Taylor,Pulmonology,FL,28,Top 20
NPI7123879549,Susan,Nguyen,Oncology,FL,19,Other
NPI4487504819,Richard,Moore,Family Medicine,VA,12,Other
NPI4271210377,Susan,White,Orthopedic Surgery,IL,39,Top 50
NPI2347607874,Mary,Thompson,Rheumatology,IL,29,Other
NPI6371536010,James,Hernandez,Pulmonology,NY,35,Other
NPI6423979694,John,Brown,General Surgery,WA,23,Other
NPI4062705792,Richard,Wilson,Oncology,CA,20,Top 50
NPI8738650510,Sarah,Rodriguez,Family Medicine,PA,2,Other
NPI8609121087,Richard,Jackson,Emergency Medicine,VA,3,Top 50
NPI1981488758,Kevin,White,Orthopedic Surgery,MI,28,Top 50
NPI7255345489,Michael,Davis,Emergency Medicine,AZ,9,Other
NPI4544512805,Susan,Kim,Internal Medicine,PA,4,Other
NPI9997433658,Linda,Moore,Dermatology,WA,31,Other
NPI3025212666,William,Miller,Neurology,TN,25,Top 50
NPI3524717848,Karen,Jones,Internal Medicine,GA,5,Other
NPI4978956650,Barbara,Taylor,Psychiatry,IL,20,Other
NPI3418436337,Barbara,Martin,Orthopedic Surgery,VA,19,Top 20
NPI7227940296,Wei,Wilson,Cardiology,VA,1,Top 20
NPI5328173009,Carlos,Davis,Oncology,TX,24,Top 50
NPI2987909513,Michael,Wilson,Dermatology,VA,16,Top 50
NPI5557366624,Patricia,Wilson,Family Medicine,NY,35,Top 50
NPI8999089896,Linda,Nguyen,Oncology,VA,5,Top 20
NPI8131560820,Karen,Moore,Oncology,MD,34,Other
NPI5489460319,Kevin,Moore,Family Medicine,NJ,1,Other
NPI3596433427,Robert,Jones,Pulmonology,TN,30,Other
NPI2618978182,Mary,Martin,General Surgery,OH,31,Other
NPI8905445893,Sarah,Rodriguez,Internal Medicine,MD,16,Top 50
NPI7391502463,Michelle,Nguyen,Emergency Medicine,IN,11,Other
NPI6149469727,Thomas,Hernandez,Gastroenterology,MD,6,Other
NPI8914911812,Anita,Martinez,Family Medicine,MA,14,Other
NPI2095212586,Lisa,Anderson,Dermatology,WA,27,Top 50
NPI7142403573,James,Smith,Internal Medicine,NJ,29,Other
NPI2950410811,Richard,Smith,Emergency Medicine,MD,8,Other
NPI2085196969,Fatima,Chen,Neurology,IN,1,Other
NPI5190476589,Sarah,Singh,Neurology,NC,22,Other
NPI4486536367,Jennifer,Clark,Internal Medicine,TX,23,Other
NPI9470562482,Jennifer,Thompson,Gastroenterology,CA,39,Other
NPI3915815920,Lisa,O'Brien,Cardiology,PA,30,Other
NPI8334120330,Jessica,Thomas,Internal Medicine,TX,22,Other
NPI7739443003,Karen,Davis,Internal Medicine,PA,24,Other
NPI7011314829,Susan,Davis,General Surgery,FL,26,Top 20
NPI9283604255,David,Davis,Internal Medicine,WI,18,Other
NPI4671321349,Lisa,Nguyen,Pulmonology,TX,27,Top 50
NPI4507040673,James,Smith,Neurology,WA,8,Top 50
NPI2448526812,Jessica,Rodriguez,Cardiology,GA,33,Top 50
NPI3481858679,Susan,Chen,Cardiology,NY,34,Other
NPI8917988103,Fatima,Taylor,Cardiology,MA,17,Top 20
NPI5269439195,Priya,Kim,Psychiatry,WI,18,Top 50
